,life_lg
1,2.1631017150439753
2,2.1384605947257023
3,1.3613500243522665
4,1.4471580313422192
5,1.0791812460476249
6,1.6232492903979006
7,1.4345689040341987
8,1.3424226808222062
9,2.0
10,1.5639554649958127
11,1.7323937598229686
12,1.2833012287035497
13,1.7679717213816188
14,1.1095785469043866
15,2.0791812460476247
16,1.4771212547196624
17,1.3424226808222062
18,1.5658478186735176
19,1.9242792860618816
20,1.3708830167776058
21,1.4471580313422192
22,1.3010299956639813
23,2.380211241711606
24,1.662757831681574
25,1.7530465616265292
26,1.2645817292380774
27,2.3183764152227964
28,1.8975171294005253
29,1.331427296520743
30,2.2041199826559246
31,1.1414497734004674
32,1.5182506513085
33,2.0718820073061255
34,1.505149978319906
35,1.0791812460476249
36,1.9165592193011138
37,1.6532125137753437
38,1.755722444903458
39,1.591064607026499
40,1.6018427897820982
41,1.7851874200293618
42,1.4183012913197455
43,1.3581252852766486
44,1.4768316285122607
45,1.9974737588029803
46,2.0718820073061255
47,1.616160312847583
48,1.767007363949804
49,1.755722444903458
50,1.534026106056135
51,1.7930216598459832
52,2.0042353663594676
53,2.0253058652647704
54,1.462397997898956
55,1.8687032022785366
56,1.7648483571934108
57,1.778078861937455
58,1.7528164311882715
59,1.8808135922807914
60,1.4313637641589874
61,1.7323937598229686
62,1.2487087356009179
63,1.8573324964312685
64,2.2065020575886853
65,1.7481880270062005
66,1.7648483571934108
67,2.1522883443830563
68,1.591064607026499
69,1.2304489213782739
70,1.7481880270062005
71,2.2041199826559246
72,1.9283958522567137
73,1.873494982256169
74,1.7275412570285564
75,2.2065020575886853
76,1.6127838567197355
77,1.5440680443502757
78,2.2041199826559246
79,1.4891143693789193
80,2.0127950581454126
81,1.5912872650584993
82,1.5743785644130823
83,1.5963771439975991
84,0.8444771757456814
85,0.8444771757456814
86,2.0718820073061255
87,1.6967057809339172
88,1.7241939195143297
89,1.9648251178833886
90,1.4291060083326965
91,2.0
92,1.93033763573773
93,1.4449811120879448
94,1.2084413564385674
95,1.3324384599156054
96,2.1225435240687545
97,2.0034605321095063
98,1.5795549604009986
99,1.380211241711606
100,2.038023740045158
101,2.380211241711606
102,2.1760912590556813
103,2.0836459276955845
104,1.3673559210260189
105,2.540779806110345
106,2.039374455768474
107,2.060622304309956
108,1.256717745977487
109,2.014856420044506
110,1.6073477767684134
111,1.3673559210260189
112,1.4065401804339552
113,0.9532763366673044
114,1.1812717715594616
115,1.6271609523747759
116,2.0569048513364727
117,1.7602716605420632
118,1.8275631112547237
119,1.1812717715594616
120,1.6126779183165019
121,1.4768316285122607
122,1.6271609523747759
123,1.6572471298837164
124,1.3933996952931018
125,1.5877109650189114
126,1.6400837313731202
127,1.662757831681574
128,1.8141143561291255
129,1.0
130,2.0855046394264978
131,2.0855046394264978
132,1.6781540380104374
133,1.7424108805804925
134,1.5474054596674898
135,1.287801729930226
136,1.256717745977487
137,1.2810333672477277
138,1.476541809027429
139,1.5895027962637638
140,1.7975445143617264
141,2.0086001717619175
142,1.4347285417797577
143,1.4329692908744058
144,1.3895204658463773
145,1.8781194846971676
146,1.7517408738109006
147,2.0893398077710312
148,1.2105860249051565
149,1.4393326938302626
150,1.401055725771844
151,1.359835482339888
152,1.745855195173729
153,2.150357257998519
154,1.9693693117335274
155,2.255272505103306
156,2.0410372078670282
157,2.118595365223762
158,1.129689892199301
159,1.3176455432211587
160,2.010299956639812
161,2.1059527692369797
162,1.3176455432211587
163,1.7175040747642019
164,1.401055725771844
165,1.9744656357372425
166,1.7489628612561614
167,1.503790683057181
168,2.3688816561763337
169,2.2763468962530333
170,1.7844033017530083
171,2.041195233696809
172,1.6871721045947996
173,1.5895027962637638
174,1.9955913242523533
175,1.3617278360175928
176,1.0334237554869496
177,1.3617278360175928
178,1.5185139398778875
179,1.7707783961691477
180,1.1072099696478683
181,2.1126050015345745
182,1.462397997898956
183,1.3010299956639813
184,1.8877297972880303
185,1.4712917110589385
186,1.6532125137753437
187,1.1072099696478683
188,1.9138138523837167
189,1.6901960800285136
190,1.6812412373755872
191,1.4313637641589874
192,1.6127838567197355
193,1.3617278360175928
194,1.3918169236132487
195,1.6532125137753437
196,1.3617278360175928
197,1.9142902556659491
198,1.3617278360175928
199,1.3617278360175928
200,1.3617278360175928
201,1.255272505103306
202,1.7945577512547615
203,1.5628873812938793
204,1.3970705499594087
205,1.5178554189300286
206,0.9242792860618817
207,1.4116197059632303
208,1.3579348470004537
209,1.709693869727792
210,1.5374412834079476
211,1.493876110852823
212,1.766040860381389
213,1.3970705499594087
214,1.6744018128452818
215,1.3970705499594087
216,1.6744018128452818
217,1.3970705499594087
218,1.4199557484897578
219,1.461648568063455
220,1.4199557484897578
221,1.767526899408382
222,1.3970705499594087
223,1.184975190698261
224,2.110589710299249
225,1.2911467617318857
226,1.3552599055273784
227,1.3970705499594087
228,1.3970705499594087
229,1.6744018128452818
230,1.6744018128452818
231,1.6122539060964374
232,1.54282542695918
233,0.7867514221455612
234,1.7011360660925265
235,1.3970705499594087
236,1.0334237554869496
237,2.0644579892269186
238,1.4243915544102774
239,1.4540822707310899
240,1.6164755138885656
241,1.568788212315347
242,1.0334237554869496
243,1.0334237554869496
244,1.6117233080073419
245,1.1319392952104246
246,1.2253092817258628
247,1.6959192528314
248,1.0334237554869496
249,1.6026025204202565
250,1.9430986230054852
251,1.8329557506045984
252,1.7362370989047289
253,1.515211304327802
254,2.284092190642834
255,1.2041199826559248
256,1.7698202577635922
257,2.220238879934404
258,1.0314084642516241
259,2.139091607523823
260,1.709693869727792
261,1.7983052820219765
262,1.7726883546821415
263,1.7983052820219765
264,1.709693869727792
265,1.4199557484897578
266,1.4224256763712047
